DIA,MES,AÑO,LECHE_PARA_QUESILLO (LTS),TOTAL_PROCESADO (LTS),PRODUCCION (QTY)
24,2,2020,0,0,0
25,2,2020,9.900,14.100,5.669
26,2,2020,6.188,10.388,3.494
27,2,2020,3.946,8.146,2.224
28,2,2020,6.297,8.397,3.478
1,3,2020,4.405,8.605,2.557
2,3,2020,6.130,8.230,3.512
3,3,2020,0,0,0
4,3,2020,10.000,14.200,5.742
5,3,2020,5.050,9.250,2.926
6,3,2020,4.888,6.988,2.823
7,3,2020,6.968,6.968,4.058
8,3,2020,4.931,7.031,2.865
9,3,2020,5.148,6.968,2.928
10,3,2020,0,0,0
11,3,2020,8.400,12.600,4.836
12,3,2020,5.755,9.955,3.329
13,3,2020,5.734,7.834,3.337
14,3,2020,8.048,8.048,4.587
15,3,2020,3.600,7.800,2.083
16,3,2020,4.428,8.028,2.600
17,3,2020,0,0,0
18,3,2020,8.400,12.700,4.827
19,3,2020,6.600,10.900,3.794
20,3,2020,3.630,7.930,2.104
21,3,2020,7.766,7.766,4.508
22,3,2020,3.820,7.820,2.154
23,3,2020,7.982,7.982,4.591
24,3,2020,0,0,0
25,3,2020,8.446,12.746,4.921
26,3,2020,7.462,11.762,4.327
27,3,2020,3.860,8.210,2.192
28,3,2020,3.685,7.985,2.103
29,3,2020,3.681,7.981,2.103
30,3,2020,5.000,7.800,2.942
31,3,2020,0,0,0
1,4,2020,8.445,12.745,4.871
2,4,2020,5.963,9.963,3.405
3,4,2020,3.631,7.301,2.077
4,4,2020,7.141,7.141,4.182
5,4,2020,7.363,7.363,4.302
6,4,2020,7.100,7.100,4.115
7,4,2020,0,0,0
8,4,2020,8.600,12.900,4.985
9,4,2020,3.750,7.750,2.175
10,4,2020,6.852,6.852,3.964
11,4,2020,7.383,7.383,4.321
12,4,2020,7.413,7.413,4.327
13,4,2020,1.840,7.840,1.073
14,4,2020,0,0,0
15,4,2020,8.600,12.900,5.003
16,4,2020,6.100,10.400,3.476
17,4,2020,3.588,7.888,2.042
18,4,2020,7.987,7.987,4.684
19,4,2020,3.753,7.853,2.180
20,4,2020,4.450,7.850,2.588
21,4,2020,0,0,0
22,4,2020,7.800,12.100,4.507
23,4,2020,5.927,10.227,3.378
24,4,2020,3.050,7.350,1.715
